Unnamed: 0,date,instrument,ROE,Free_Cash_Flow,EPS,Net_Profit_Qoq,PE_TTM,Market_Cap,Holder_Avg_Pct,return_5,rank_return_5,rank_avg_amount_5,amount,open,close
534585,2022/7/25,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,17.560307,237594000000.0,0.005636565,1.0202839,0.45052895,0.92658645,644057865,955.9369,962.0573
534586,2022/7/26,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,17.874508,241845000000.0,0.005636565,1.0051041,0.43336788,0.93160623,774163989,962.0573,979.2711
534587,2022/7/27,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,17.641834,238697000000.0,0.005636565,1.0047733,0.4746114,0.9297409,436564849,971.23804,966.26514
534588,2022/7/28,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,17.563364,237635000000.0,0.005636565,0.9909377,0.3268394,0.9266321,465471984,972.3856,962.0573
534589,2022/7/29,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,17.31196,234233000000.0,0.005636565,0.99358714,0.3880597,0.9324632,615671727,965.8826,948.2863
534590,2022/8/1,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,16.99072,229887000000.0,0.005636565,0.97475964,0.17622696,0.9325331,648781086,941.0183,930.69006
534591,2022/8/2,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,16.641548,225163000000.0,0.005636565,0.94751495,0.27141085,0.924302,526124004,920.7443,911.56366
534592,2022/8/3,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,16.27841,220249000000.0,0.005636565,0.91054684,0.12861869,0.91296256,620497475,911.56366,891.67224
534593,2022/8/4,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,16.271425,220155000000.0,0.005636565,0.92240703,0.121976435,0.91525424,455256520,898.94025,891.28973
534594,2022/8/5,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,16.376177,221572000000.0,0.005636565,0.93240565,0.15029977,0.9293389,910766088,894.3499,897.02765
534595,2022/8/8,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,16.424107,222221000000.0,0.005636565,0.9487697,0.1454245,0.93721604,810156303,891.67224,899.7053
534596,2022/8/9,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,16.396173,221843000000.0,0.005636565,0.96506375,0.25712517,0.93331957,453092700,911.9462,898.17523
534597,2022/8/10,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,15.921327,215418000000.0,0.005636565,0.9567772,0.055555556,0.9434118,852329467,900.8529,872.1633
534598,2022/8/11,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,16.396173,221843000000.0,0.005636565,1.007293,0.123553716,0.9454658,666010643,878.28375,898.17523
534599,2022/8/12,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,16.535835,223732000000.0,0.005636565,1.0163089,0.2796365,0.94450176,500427934,899.3228,905.82574
